place_id,place_key,geom_source,year,value,numerator,denominator,measure_type,source,sample_n,notes
Neuss,neuss,legacy,,6.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Heidelberg,heidelberg,legacy,,25.2,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Paderborn,paderborn,legacy,,13.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Würzburg,wurzburg,legacy,,14.6,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Recklinghausen,recklinghausen,legacy,,6.4,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Wolfsburg,wolfsburg,legacy,,11.2,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Bremerhaven,bremerhaven,legacy,,12.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Bottrop,bottrop,legacy,,4.3,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Heilbronn,heilbronn,legacy,,5.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Remscheid,remscheid,legacy,,0.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Offenbach am Main,offenbach am main,legacy,,9.4,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Ulm,ulm,legacy,,11.2,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Pforzheim,pforzheim,legacy,,1.1,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Ingolstadt,ingolstadt,legacy,,20.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Gera,gera,legacy,,4.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Salzgitter,salzgitter,legacy,,6.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Reutlingen,reutlingen,legacy,,7.7,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Fürth,furth,legacy,,5.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Cottbus,cottbus,legacy,,24.4,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Siegen,siegen,legacy,,1.6,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Bergisch Gladbach,bergisch gladbach,legacy,,4.3,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
